no_cars,frame,no_cars_time,colours_detected,colours_detected_time,car_type,car_type_time
0,524,0.200023,,,,
0,525,0.202392,,,,
0,526,0.201813,,,,
0,527,0.1985,,,,
0,528,0.200571,,,,
0,529,0.197369,,,,
0,530,0.200107,,,,
0,531,0.20094,,,,
0,532,0.287765,,,,
0,533,0.205125,,,,
0,534,0.199206,,,,
0,535,0.203678,,,,
0,536,0.204435,,,,
0,537,0.196738,,,,
0,538,0.202222,,,,
0,539,0.204549,,,,
0,540,0.267162,,,,
0,541,0.198007,,,,
0,542,0.200898,,,,
0,543,0.199107,,,,
0,544,0.283537,,,,
0,545,0.280036,,,,
0,546,0.199361,,,,
0,547,0.200675,,,,
0,548,0.198506,,,,
0,549,0.202296,,,,
0,550,0.197997,,,,
0,551,0.201879,,,,
0,552,0.203651,,,,
0,553,0.201304,,,,
0,554,0.257563,,,,
0,555,0.202452,,,,
0,556,0.199308,,,,
0,557,0.265652,,,,
0,558,0.205702,,,,
0,559,0.19932,,,,
0,560,0.290186,,,,
0,561,0.19993,,,,
0,562,0.279713,,,,
0,563,0.273535,,,,
0,564,0.197319,,,,
0,565,0.203835,,,,
0,566,0.199165,,,,
0,567,0.196665,,,,
0,568,0.209946,,,,
0,569,0.20037,,,,
0,570,0.29244,,,,
0,571,0.275597,,,,
0,572,0.275581,,,,
0,573,0.203269,,,,
1,574,0.287857,red,0.001461,hatchback,0.209619
1,575,0.202042,red,0.001462,hatchback,0.072203
1,576,0.198396,red,0.001473,hatchback,0.072155
1,577,0.208523,red,0.001493,hatchback,0.208997
1,578,0.199721,red,0.001457,hatchback,0.071914
1,579,0.202563,red,0.001434,hatchback,0.071202
1,580,0.200828,red,0.001424,hatchback,0.209286
1,581,0.201052,red,0.001448,hatchback,0.073018
1,582,0.197349,red,0.001418,hatchback,0.07329
1,583,0.205821,red,0.001442,hatchback,0.072004
1,584,0.281996,red,0.001426,hatchback,0.211185
1,585,0.212237,red,0.00159,hatchback,0.072388
1,586,0.200401,red,0.001427,hatchback,0.074739
